    E(eV)    dE(eV)  Phi(deg)    dPhi      Theta    dTheta   Log10(FDV)
				(deg)      (deg)    (deg)     FDV in s^3/km^3/cm^3
  13.6439    4.5626  112.8750   22.5000  -11.2500   22.5000  -10.1696
  13.6439    4.5626   90.3750   22.5000  -11.2500   22.5000  -10.2840
  13.6439    4.5626  112.8750   22.5000  -33.7500   22.5000  -10.1896
  13.6439    4.5626   90.3750   22.5000  -33.7500   22.5000  -10.2780
  13.6439    4.5626  135.3750   22.5000  -11.2500   22.5000  -10.0942
  13.6439    4.5626  157.8750   22.5000  -11.2500   22.5000  -10.0353
  13.6439    4.5626  135.3750   22.5000  -33.7500   22.5000  -10.1203
  13.6439    4.5626  157.8750   22.5000  -33.7500   22.5000  -10.0645
  13.6439    4.5626  101.6250   45.0000  -56.2500   22.5000  -10.2476
  13.6439    4.5626  146.6250   45.0000  -56.2500   22.5000  -10.1668
  13.6439    4.5626  124.1250   90.0000  -78.7500   22.5000  -10.2491
  13.6439    4.5626  112.8750   22.5000   11.2500   22.5000  -10.1251
  13.6439    4.5626   90.3750   22.5000   11.2500   22.5000  -10.2229
  13.6439    4.5626  112.8750   22.5000   33.7500   22.5000  -10.1726
  13.6439    4.5626   90.3750   22.5000   33.7500   22.5000  -10.2627
  13.6439    4.5626  135.3750   22.5000   11.2500   22.5000  -10.0765
  13.6439    4.5626  157.8750   22.5000   11.2500   22.5000  -10.0314
  13.6439    4.5626  135.3750   22.5000   33.7500   22.5000  -10.1152
  13.6439    4.5626  157.8750   22.5000   33.7500   22.5000  -10.0477
  13.6439    4.5626  101.6250   45.0000   56.2500   22.5000  -10.2482
  13.6439    4.5626  146.6250   45.0000   56.2500   22.5000  -10.1383
  13.6439    4.5626  124.1250   90.0000   78.7500   22.5000  -10.2761
  13.6439    4.5626  225.3750   22.5000  -11.2500   22.5000  -10.1064
  13.6439    4.5626  247.8750   22.5000  -11.2500   22.5000  -10.1890
  13.6439    4.5626  225.3750   22.5000  -33.7500   22.5000  -10.1238
  13.6439    4.5626  247.8750   22.5000  -33.7500   22.5000  -10.1896
  13.6439    4.5626  202.8750   22.5000  -11.2500   22.5000  -10.0594
  13.6439    4.5626  180.3750   22.5000  -11.2500   22.5000  -10.0214
  13.6439    4.5626  202.8750   22.5000  -33.7500   22.5000  -10.0829
  13.6439    4.5626  180.3750   22.5000  -33.7500   22.5000  -10.0468
  13.6439    4.5626  236.6250   45.0000  -56.2500   22.5000  -10.2006
  13.6439    4.5626  191.6250   45.0000  -56.2500   22.5000  -10.1468
  13.6439    4.5626  214.1250   90.0000  -78.7500   22.5000  -10.2399
  13.6439    4.5626  225.3750   22.5000   11.2500   22.5000  -10.1093
  13.6439    4.5626  247.8750   22.5000   11.2500   22.5000  -10.1999
  13.6439    4.5626  225.3750   22.5000   33.7500   22.5000  -10.1306
  13.6439    4.5626  247.8750   22.5000   33.7500   22.5000  -10.2061
  13.6439    4.5626  202.8750   22.5000   11.2500   22.5000  -10.0622
  13.6439    4.5626  180.3750   22.5000   11.2500   22.5000  -10.0219
  13.6439    4.5626  202.8750   22.5000   33.7500   22.5000  -10.0732
  13.6439    4.5626  180.3750   22.5000   33.7500   22.5000  -10.0389
  13.6439    4.5626  236.6250   45.0000   56.2500   22.5000  -10.1912
  13.6439    4.5626  191.6250   45.0000   56.2500   22.5000  -10.1182
  13.6439    4.5626  214.1250   90.0000   78.7500   22.5000  -10.2561
  13.6439    4.5626   45.3750   22.5000  -11.2500   22.5000  -10.3954
  13.6439    4.5626   67.8750   22.5000  -11.2500   22.5000  -10.3567
  13.6439    4.5626   45.3750   22.5000  -33.7500   22.5000  -10.3512
  13.6439    4.5626   67.8750   22.5000  -33.7500   22.5000  -10.3335
  13.6439    4.5626   22.8750   22.5000  -11.2500   22.5000  -10.4350
  13.6439    4.5626    0.3750   22.5000  -11.2500   22.5000  -10.4584
  13.6439    4.5626   22.8750   22.5000  -33.7500   22.5000  -10.3815
  13.6439    4.5626    0.3750   22.5000  -33.7500   22.5000  -10.3935
  13.6439    4.5626   56.6250   45.0000  -56.2500   22.5000  -10.2902
